date,postcode,fuel,pc_median,st_median,spread,n_stations
2026-05-31,3162,ulp95,197.9,196.9,1.0,3
2026-05-31,3163,ulp91,183.4,179.9,3.5,2
2026-05-31,3163,ulp95,197.9,196.9,1.0,2
2026-05-31,3163,diesel,224.9,221.3,3.6,2
2026-05-31,3165,ulp91,185.9,179.9,6.0,3
2026-05-31,3165,ulp95,201.2,196.9,4.3,3
2026-05-31,3165,diesel,225.9,221.3,4.6,3
2026-05-31,3166,ulp91,177.7,179.9,-2.2,5
2026-05-31,3166,ulp95,195.2,196.9,-1.7,5
2026-05-31,3166,diesel,219.5,221.3,-1.8,5
2026-05-31,3167,ulp91,182.9,179.9,3.0,3
2026-05-31,3167,ulp95,201.4,196.9,4.5,3
2026-05-31,3168,ulp91,179.9,179.9,0.0,8
2026-05-31,3168,ulp95,195.9,196.9,-1.0,8
2026-05-31,3168,diesel,224.7,221.3,3.4,8
2026-05-31,3169,ulp91,185.9,179.9,6.0,6
2026-05-31,3169,ulp95,201.9,196.9,5.0,6
2026-05-31,3169,diesel,231.9,221.3,10.6,6
2026-05-31,3170,ulp91,178.9,179.9,-1.0,6
2026-05-31,3170,ulp95,198.3,196.9,1.4,6
2026-05-31,3170,diesel,218.0,221.3,-3.3,6
2026-05-31,3171,ulp91,179.9,179.9,0.0,6
2026-05-31,3171,ulp95,198.9,196.9,2.0,6
2026-05-31,3171,diesel,219.9,221.3,-1.4,6
2026-05-31,3172,ulp91,179.5,179.9,-0.4,7
2026-05-31,3172,ulp95,192.4,196.9,-4.5,7
2026-05-31,3172,diesel,218.4,221.3,-2.9,7
2026-05-31,3173,ulp91,177.9,179.9,-2.0,5
2026-05-31,3173,ulp95,194.4,196.9,-2.5,5
2026-05-31,3174,ulp91,173.9,179.9,-6.0,5
2026-05-31,3174,ulp95,194.4,196.9,-2.5,5
2026-05-31,3174,diesel,219.4,221.3,-1.9,5
2026-05-31,3175,ulp91,177.7,179.9,-2.2,24
2026-05-31,3175,ulp95,196.1,196.9,-0.8,24
2026-05-31,3175,diesel,219.7,221.3,-1.6,24
2026-05-31,3177,ulp91,173.9,179.9,-6.0,3
2026-05-31,3177,ulp95,182.9,196.9,-14.0,3
2026-05-31,3177,diesel,216.4,221.3,-4.9,3
2026-05-31,3178,ulp91,178.9,179.9,-1.0,8
2026-05-31,3178,ulp95,196.9,196.9,0.0,8
2026-05-31,3178,diesel,223.3,221.3,2.0,8
2026-05-31,3179,ulp91,177.9,179.9,-2.0,5
2026-05-31,3179,ulp95,189.9,196.9,-7.0,5
2026-05-31,3179,diesel,218.9,221.3,-2.4,5
2026-05-31,3180,ulp91,177.7,179.9,-2.2,2
2026-05-31,3180,ulp95,195.2,196.9,-1.7,2
2026-05-31,3180,diesel,223.3,221.3,2.0,2
2026-05-31,3181,ulp91,177.9,179.9,-2.0,5
2026-05-31,3181,ulp95,195.1,196.9,-1.8,5
2026-05-31,3181,diesel,223.3,221.3,2.0,5
2026-05-31,3182,ulp91,183.7,179.9,3.8,3
2026-05-31,3182,ulp95,201.2,196.9,4.3,3
2026-05-31,3182,diesel,223.3,221.3,2.0,3
2026-05-31,3184,ulp91,177.9,179.9,-2.0,1
2026-05-31,3184,ulp95,195.4,196.9,-1.5,1
2026-05-31,3185,ulp91,189.9,179.9,10.0,3
2026-05-31,3185,ulp95,206.9,196.9,10.0,3
2026-05-31,3185,diesel,223.3,221.3,2.0,3
2026-05-31,3186,ulp91,182.9,179.9,3.0,2
2026-05-31,3187,ulp91,181.9,179.9,2.0,1
2026-05-31,3187,ulp95,198.9,196.9,2.0,1
2026-05-31,3188,ulp91,183.7,179.9,3.8,2
2026-05-31,3188,ulp95,201.2,196.9,4.3,2
2026-05-31,3188,diesel,223.3,221.3,2.0,2
2026-05-31,3189,ulp91,181.8,179.9,1.9,4
2026-05-31,3189,ulp95,200.9,196.9,4.0,4
2026-05-31,3189,diesel,212.2,221.3,-9.1,4
2026-05-31,3190,ulp91,185.9,179.9,6.0,1
2026-05-31,3191,ulp91,187.9,179.9,8.0,2
2026-05-31,3191,ulp95,204.9,196.9,8.0,2
2026-05-31,3192,ulp91,173.6,179.9,-6.3,4
2026-05-31,3192,ulp95,190.8,196.9,-6.1,4
2026-05-31,3192,diesel,209.2,221.3,-12.1,4
2026-05-31,3193,ulp91,189.9,179.9,10.0,1
2026-05-31,3193,ulp95,206.9,196.9,10.0,1
2026-05-31,3194,ulp91,174.2,179.9,-5.7,6
2026-05-31,3194,ulp95,191.9,196.9,-5.0,6
2026-05-31,3194,diesel,216.9,221.3,-4.4,6
2026-05-31,3195,ulp91,183.7,179.9,3.8,8
2026-05-31,3195,ulp95,199.9,196.9,3.0,8
2026-05-31,3195,diesel,219.3,221.3,-2.0,8
2026-05-31,3196,ulp91,184.9,179.9,5.0,3
2026-05-31,3196,ulp95,200.9,196.9,4.0,3
2026-05-31,3196,diesel,229.9,221.3,8.6,3
2026-05-31,3197,ulp91,184.9,179.9,5.0,2
2026-05-31,3197,ulp95,200.9,196.9,4.0,2
2026-05-31,3197,diesel,229.9,221.3,8.6,2
2026-05-31,3198,ulp91,175.9,179.9,-4.0,7
2026-05-31,3198,ulp95,190.9,196.9,-6.0,7
2026-05-31,3198,diesel,235.5,221.3,14.2,7
2026-05-31,3199,ulp91,173.9,179.9,-6.0,13
2026-05-31,3199,ulp95,191.1,196.9,-5.8,13
2026-05-31,3199,diesel,218.5,221.3,-2.8,13
2026-05-31,3200,ulp91,177.9,179.9,-2.0,1
2026-05-31,3200,ulp95,195.9,196.9,-1.0,1
2026-05-31,3200,diesel,217.9,221.3,-3.4,1
2026-05-31,3201,ulp91,177.2,179.9,-2.7,6
2026-05-31,3201,ulp95,197.9,196.9,1.0,6
2026-05-31,3201,diesel,216.4,221.3,-4.9,6
2026-05-31,3202,ulp91,171.9,179.9,-8.0,1
2026-05-31,3202,ulp95,185.9,196.9,-11.0,1
2026-05-31,3204,ulp91,183.7,179.9,3.8,4
2026-05-31,3204,ulp95,202.1,196.9,5.2,4
2026-05-31,3204,diesel,222.9,221.3,1.6,4
2026-05-31,3205,ulp91,182.9,179.9,3.0,5
2026-05-31,3205,ulp95,199.9,196.9,3.0,5
2026-05-31,3205,diesel,229.4,221.3,8.1,5
2026-05-31,3206,ulp91,185.9,179.9,6.0,1
2026-05-31,3206,ulp95,202.9,196.9,6.0,1
2026-05-31,3207,ulp91,183.5,179.9,3.6,5
2026-05-31,3207,ulp95,199.9,196.9,3.0,5
2026-05-31,3207,diesel,219.5,221.3,-1.8,5
2026-05-31,3211,ulp91,186.4,179.9,6.5,2
2026-05-31,3211,ulp95,191.9,196.9,-5.0,2
2026-05-31,3211,diesel,225.9,221.3,4.6,2
2026-05-31,3212,ulp91,176.9,179.9,-3.0,3
2026-05-31,3212,ulp95,185.9,196.9,-11.0,3
2026-05-31,3212,diesel,217.3,221.3,-4.0,3
2026-05-31,3213,ulp91,177.9,179.9,-2.0,4
2026-05-31,3213,ulp95,185.4,196.9,-11.5,4
2026-05-31,3213,diesel,219.9,221.3,-1.4,4
2026-05-31,3214,ulp91,176.5,179.9,-3.4,15
2026-05-31,3214,ulp95,192.2,196.9,-4.7,15
2026-05-31,3214,diesel,215.9,221.3,-5.4,15
2026-05-31,3215,ulp91,179.9,179.9,0.0,6
2026-05-31,3215,ulp95,193.2,196.9,-3.7,6
2026-05-31,3215,diesel,229.9,221.3,8.6,6
2026-05-31,3216,ulp91,175.1,179.9,-4.8,12
2026-05-31,3216,ulp95,192.6,196.9,-4.3,12
2026-05-31,3216,diesel,213.5,221.3,-7.8,12
2026-05-31,3217,ulp91,184.9,179.9,5.0,6
2026-05-31,3217,ulp95,206.9,196.9,10.0,6
2026-05-31,3217,diesel,214.9,221.3,-6.4,6
2026-05-31,3218,ulp91,175.1,179.9,-4.8,4
2026-05-31,3218,ulp95,190.4,196.9,-6.5,4
2026-05-31,3218,diesel,217.1,221.3,-4.2,4
2026-05-31,3219,ulp91,183.9,179.9,4.0,5
2026-05-31,3219,ulp95,201.9,196.9,5.0,5
2026-05-31,3219,diesel,213.6,221.3,-7.7,5
2026-05-31,3220,ulp91,175.9,179.9,-4.0,5
2026-05-31,3220,ulp95,192.8,196.9,-4.1,5
2026-05-31,3220,diesel,218.9,221.3,-2.4,5
2026-05-31,3221,ulp91,186.9,179.9,7.0,2
